ISIN	Currency	Total Buy Count	Total Sell Count	Total Buy Quantity	Total Sell Quantity	Weighted Average Buy Price	Weighted Average Sell Price	Max Buy Price	Min Sell Price
FR0010342592	EUR	1	6	12	72	5789166.666666667	5788611.111111111	5789166.666666667	5663333.333333333
FR0010361683	EUR	4	24	1568	9408	5697.193877551021	5709.725765306122	5716.071428571428	5670.918367346939
FR0010405431	EUR	3	6	26361	52722	9.869124843518835	9.94461515117029	9.912370547399567	9.866848753840902
FR0010446146	EUR	34	34	846600	846600	44.58374675171273	44.76801322938814	45.31726907630522	43.44578313253012
FR0010446658	EUR	34	34	1237600	1237600	18.138574660633484	18.218810601163543	19.39835164835165	17.607142857142858
FR0010446666	EUR	34	34	7245400	7245400	0.6334419079691942	0.6362768101140034	0.6514312529328954	0.5991553261379634
FR0010468983	EUR	67	68	93800	95200	2012.8944562899787	2021.8697478991596	2115.714285714286	1959.2857142857142
FR0010655712	EUR	23	25	759	825	725678.5243741765	734472.7272727273	742575.7575757576	728636.3636363636
FR0010655761	EUR	29		1131		559274.9778956675		568461.5384615385	
FR0010869495	EUR	34	33	1632000	1584000	3.9427205882352943	3.9549747474747474	4.02	3.8033333333333332
FR0013505062	EUR	34		9724		842.6573426573426		842.6573426573426	
GB0000066554	GBX	177	289	50070	85648	429167.1659676453	415393.23743695125	8093333.333333333	302000.0
GB0000197722	GBX	117	202	62760	129957	127015.61504142766	107503.2510753557	69000000.0	85359.80148883375
GB0000385517	GBX	183	104	63371	32728	254734.81560966372	288245.5389880225	4450000.0	174031.00775193798
GB0000456144	GBX	1491	1630	228130	248932	990574.4531626704	1010451.8503045008	76025000.0	430857.14285714284
GB0000485838	GBX	196	220	45634	68108	338990.66485515184	260029.65877723615	8010000.0	40700.0
GB0000536739	GBX	1678	2031	104494	129072	7467161.750913928	7384577.60009917	14144117.647058824	2290000.0
GB0000667013	GBX	141	165	32087	30198	523601.45853460906	659583.4161202728	2368627.4509803923	298477.15736040607
GB0000811801	GBX	1562	1492	645428	725301	132349.32478913217	114792.17593798989	6151111.111111111	47094.339622641506
GB0000904986	GBX	756	459	53085	38264	3820713.949326552	3245849.8850094085	9825000.0	1461538.4615384615
GB0000961622	GBX	154	154	149414	146379	22766.005862904414	23440.52083973794	22040000.0	10647.48201438849
GB0001048619	GBX	86	96	361664	367267	2139.3475712263316	2394.089313769002	6206.666666666667	1641.2429378531074
GB0001367019	GBX	1881	2016	924289	995772	96205.06140395482	96435.34865410958	2626666.6666666665	42585.27827648115
GB0001500809	GBX	242	271	694528	1278350	1861.194941024696	1239.4289513826418	2669000.0	324.41832573758694
GB0001638955	GBX	174	121	52150	33732	262437.2003835091	284980.1375548441	78350000.0	132656.5143824027
GB0001639920	GBX	241	227	16442	17993	4602146.940761465	4148029.7893625298	36055555.55555555	2272727.272727273
GB0001740025	GBX	229	215	106743	91298	103529.50544766402	116358.51825888848	1229487.1794871795	43894.83065953654
GB0001765816	GBX	194	252	158158	192789	33473.80467633632	36006.2036734461	171250.0	16164.302600472813
GB0001826634	GBX	194	223	29035	34511	1700616.4973308076	1663498.5946509808	253600000.0	1336507.9365079366
GB0001859296	GBX	288	175	92368	68378	288988.8272994977	243077.89054959198	9472000.0	56766.05504587156
GB0001990497	GBX	182	290	256877	440378	26874.535283423585	25308.257905708277	214325.8426966292	21657.14285714286
GB0002018363	GBX	139	219	12662	16086	3363291.73906176	4216741.2656968795	307500000.0	2039735.0993377483
GB0002074580	GBX	195	189	21157	19607	2891109.325518741	3051563.2172183404	314600000.0	1991082.8025477708
