ISIN	Currency	Total Buy Count	Total Sell Count	Total Buy Quantity	Total Sell Quantity	Weighted Average Buy Price	Weighted Average Sell Price	Max Buy Price	Min Sell Price
GB0006886666	GBX	157		46252		297003.372827121		88400000.0	
GB0006928617	GBX	217		83628		255139.7857177022		98440000.0	
GB0007099541	GBX	1579		530141		320926.7911744234		54250000.0	
GB0007188757	GBX	2436		176669		8138181.571186796		54636363.63636363	
GB0007323586	GBX	155		10798		5872291.165030561		136600000.0	
GB0007366395	GBX	237		52090		1065079.6698022652		232500000.0	
GB0007388407	GBX	123		21025		724642.0927467301		124200000.0	
GB0007668071	GBX	173		46484		402695.5511573875		54450000.0	
GB0007669376	GBX	1529		301066		617449.6622003149		3919354.8387096776	
GB0007816068	GBX	242		143238		132633.79829374887		78200000.0	
GB0007826091	GBX	128		58191		183727.72421852176		1722000.0	
GB0007873697	GBX	206		96350		97199.79242345615		1052325.5813953488	
GB0007908733	GBX	1900		413687		722470.1283820859		79450000.0	
GB0007913485	GBX	153		247446		10684.755461797726		90000.0	
GB0007918872	GBX	180		87348		108785.54746531117		1472222.2222222222	
GB0007958233	GBX	210		236286		10832.973599790084		242200.0	
GB0007973794	GBX	246		790874		3993.050726158655		2506000.0	
GB0007980591	GBX	2891		3821469		25977.686852883013		1054545.4545454546	
GB0007990962	GBX	240		99921		130696.25003752965		27450000.0	
GB0008025412	GBX	59		561368		351.35597326530905		1144.0	
GB0008085614	GBX	129		13262		2155896.546523903		219000000.0	
GB0008220112	GBX	1561		993563		46811.63650417739		483548.3870967742	
GB0008481250	GBX	43		256277		1176.6565083874088		1757.5	
GB0008706128	GBX	2286		11903005		821.1846504307106		4400000.0	
GB0008711763	GBX	87		99361		16741.779974034078		9750000.0	
GB0008754136	GBX	846		314732		187350.38064130754		700000.0	
GB0008782301	GBX	1518		2568823		8013.415093215843		48727.27272727273	
GB0008794710	GBX	115		20245		764544.3319338108		134600000.0	
GB0008825324	GBX	178		53313		352045.46733442124		35800000.0	
GB0008910555	GBX	200		87851		156067.6600152531		2740000.0	
GB0009039941	GBX	249		429353		8284.931047413202		3690000.0	
GB0009064097	GBX	188		170824		46232.96492296165		308571.4285714286	
GB0009123323	GBX	167		19154		2778772.0580557585		320800000.0	
GB0009223206	GBX	1597		465672		421529.9610025941		3073750.0	
GB0009252882	GBX	2917		901406		475643.1397172861		24933333.333333332	
GB0009292243	GBX	208		40832		917214.4396551724		179900000.0	
GB0009465807	GBX	647		84768		1133815.2368818421		28980000.0	
GB0009633180	GBX	1340		98318		5538035.761508574		13412903.225806452	
GB0009697037	GBX	108		120830		27663.82520897128		297714.28571428574	
GB0009887422	GBX	148		153250		24328.352365415987		616585.3658536585	
GB0009895292	GBX	2821		165129		14869143.518097972		220250000.0	
GB0030232317	GBX	172		85858		92977.94032006335		2512222.222222222	
GB0030517261	GBX	231		207110		112521.84829317754		3510344.827586207	
GB0030913577	GBX	1493		2500260		9978.352251365857		16955000.0	
GB0031215220	GBX	739		89123		993628.8051344771		121200000.0	
GB0031232498	GBX	221		122635		74758.83719982061		4150000.0	
GB0031274896	GBX	867		910509		14957.952090533976		231578.94736842104	
GB0031348658	GBX	2373		3378903		11208.495775108075		301851.85185185185	
GB0031544546	GBX	5		387371		1.6650704363517146		11.182108626198083	
GB0031638363	GBX	1829		95496		9502244.07305018		501200000.0	
GB0031743007	GBX	1650		230222		1204566.4619367393		24350000.0	
GB0032089863	GBX	1524		61515		14837431.520767292		100066666.66666667	
GB0033195214	GBX	1503		1340469		30231.777086974784		27060000.0	
GB0033986497	GBX	794		2454678		2415.9592419046407		832666.6666666666	
GB00B012BV22	GBX	96		39486		140881.57828090969		1208333.3333333333	
GB00B012TP20	GBX	101		97470		24509.07971683595		23500000.0	
GB00B019KW72	GBX	1433		1323924		26900.282795689178		1242500.0	
GB00B01QGK86	GBX	178		222597		14038.733675656005		4370000.0	
GB00B02J6398	GBX	1508		152313		2522067.7158220243		64000000.0	
GB00B02QND93	GBX	142		60345		130121.79965200099		54800000.0	
GB00B033F229	GBX	254		1055825		1767.4330499846092		7384000.0	
GB00B04V1276	GBX	141		150842		25138.489280173955		8966666.666666666	
GB00B06QFB75	GBX	800		250646		228886.75662089163		7180000.0	
GB00B0744359	GBX	164		129099		35153.64177878992		370000.0	
